,State,Turnout,D_Votes,R_Votes,Other_Votes,Total_Votes,D_pct,R_pct,O_pct,R_margin,R_lean
0,Alabama,72.5,693933,1176394,13122,1883449,36.84,62.46,0.7,25.619999999999997,23.15
1,Alaska,66.2,111025,190889,10684,312598,35.52,61.07,3.42,25.549999999999997,23.08
2,Arizona,76.3,893524,1104294,18284,2016102,44.32,54.77,0.91,10.450000000000003,7.98
3,Arkansas,62.6,469953,572898,12094,1054945,44.55,54.31,1.15,9.760000000000005,7.29
4,California,75.0,6745485,5509826,166548,12421859,54.3,44.36,1.34,-9.939999999999998,-12.41
5,Colorado,88.6,1001725,1101256,27344,2130325,47.02,51.69,1.28,4.669999999999995,2.2
6,Connecticut,77.2,857488,693826,27455,1578769,54.31,43.95,1.74,-10.36,-12.83
7,Delaware,67.7,200152,171660,3458,375270,53.34,45.74,0.92,-7.600000000000001,-10.07
8,D. C.,59.3,202970,21256,3360,227586,89.18,9.34,1.48,-79.84,-82.31
9,Florida,73.9,3583544,3964522,61744,7609810,47.09,52.1,0.81,5.009999999999998,2.54
10,Georgia,79.5,1366149,1914254,24078,3304481,41.34,57.93,0.73,16.589999999999996,14.12
11,Hawaii,66.3,231708,194191,3114,429013,54.01,45.26,0.73,-8.75,-11.22
12,Idaho,75.0,181098,409235,8114,598447,30.26,68.38,1.36,38.11999999999999,35.65
13,Illinois,70.3,2891550,2345946,36826,5274322,54.82,44.48,0.7,-10.340000000000003,-12.81
14,Indiana,57.4,969011,1479438,19553,2468002,39.26,59.94,0.79,20.68,18.21
15,Iowa,75.9,741898,751957,13053,1506908,49.23,49.9,0.87,0.6700000000000017,-1.8
16,Kansas,70.1,434993,736456,16307,1187756,36.62,62.0,1.37,25.380000000000003,22.91
17,Kentucky,64.3,712733,1069439,13907,1796079,39.68,59.54,0.77,19.86,17.39
18,Louisiana,66.5,820299,1102169,20638,1943106,42.22,56.72,1.06,14.5,12.03
19,Maine,72.3,396842,330201,13709,740752,53.57,44.58,1.85,-8.990000000000002,-11.46
20,Maryland,77.7,1334493,1024703,27482,2386678,55.91,42.93,1.15,-12.979999999999997,-15.45
21,Massachusetts,71.1,1803800,1071109,37479,2912388,61.94,36.78,1.29,-25.159999999999997,-27.63
22,Michigan,67.5,2479183,2313746,46323,4839252,51.23,47.81,0.96,-3.4199999999999946,-5.89
23,Minnesota,79.5,1445014,1346695,36678,2828387,51.09,47.61,1.3,-3.480000000000004,-5.95
24,Mississippi,63.9,458094,684981,9290,1152365,39.75,59.44,0.81,19.689999999999998,17.22
25,Missouri,65.1,1259171,1455713,16480,2731364,46.1,53.3,0.6,7.199999999999996,4.73
26,Montana,70.6,173710,266063,10672,450445,38.56,59.07,2.37,20.509999999999998,18.04
27,Nebraska,67.1,254328,512814,11044,778186,32.68,65.9,1.42,33.220000000000006,30.75
28,Nevada,77.5,397190,418690,13707,829587,47.88,50.47,1.65,2.5899999999999963,0.12
29,New Hampshire,79.2,340511,331237,5990,677738,50.24,48.87,0.88,-1.3700000000000045,-3.84
30,New Jersey,72.2,1911430,1670003,30704,3612137,52.92,46.23,0.85,-6.690000000000005,-9.16
31,New Mexico,68.4,370942,376930,8432,756304,49.05,49.84,1.11,0.7900000000000063,-1.68
32,New York,62.4,4314280,2962567,115107,7391954,58.36,40.08,1.56,-18.28,-20.75
33,North Carolina,64.0,1525849,1961166,13992,3501007,43.58,56.02,0.4,12.440000000000005,9.97
34,North Dakota,,111052,196651,5130,312833,35.5,62.86,1.64,27.36,24.89
35,Ohio,70.6,2741167,2859768,26973,5627908,48.71,50.81,0.48,2.1000000000000014,-0.37
36,Oklahoma,68.3,503966,959792,0,1463758,34.43,65.57,0.0,31.139999999999993,28.67
37,Oregon,85.8,943163,866831,26788,1836782,51.35,47.19,1.46,-4.160000000000004,-6.63
38,Pennsylvania,69.0,2938095,2793847,37648,5769590,50.92,48.42,0.65,-2.5,-4.97
39,Rhode Island,61.7,259760,169046,8328,437134,59.42,38.67,1.91,-20.75,-23.22
40,South Carolina,69.9,661699,937974,18057,1617730,40.9,57.98,1.12,17.08,14.61
41,South Dakota,77.3,149244,232584,6387,388215,38.44,59.91,1.65,21.47,19.0
42,Tennessee,73.0,1035160,1383336,16453,2434949,42.51,56.81,0.68,14.300000000000004,11.83
43,Texas,67.4,2832704,4526917,51144,7410765,38.22,61.09,0.69,22.870000000000005,20.4
44,Utah,72.6,241199,663742,22903,927844,26.0,71.54,2.47,45.540000000000006,43.07
45,Vermont,70.3,184067,121180,7062,312309,58.94,38.8,2.26,-20.14,-22.61
46,Virginia,76.5,1454742,1716959,26666,3198367,45.48,53.68,0.83,8.200000000000003,5.73
47,Washington,81.6,1510201,1304894,46618,2861713,52.77,45.6,1.63,-7.170000000000002,-9.64
48,West Virginia,64.7,326541,423778,5568,755887,43.2,56.06,0.74,12.86,10.39
49,Wisconsin,,1489504,1478120,29383,2997007,49.7,49.32,0.98,-0.38000000000000256,-2.85
50,Wyoming,104.7,70776,167629,5023,243428,29.07,68.86,2.06,39.79,37.32
51,Total,72.9,59027115,62039572,12,122303590,48.26,50.73,0.0,2.469999999999999,0.0
