,State,Turnout,D_Votes,R_Votes,Other_Votes,Total_Votes,D_pct,R_pct,O_pct,R_margin,R_lean
0,Alabama,66.1,695602,944409,32540,1672551,41.59,56.47,1.95,14.879999999999995,15.39
1,Alaska,60.3,79004,167398,39158,285560,27.67,58.62,13.71,30.949999999999996,31.46
2,Arizona,70.6,685341,781652,67120,1534113,44.67,50.95,4.38,6.280000000000001,6.79
3,Arkansas,59.2,422768,472940,26073,921781,45.86,51.31,2.83,5.450000000000003,5.96
4,California,69.8,5861203,4567429,537224,10965856,53.45,41.65,4.9,-11.800000000000004,-11.29
5,Colorado,65.9,738227,883745,119393,1741365,42.39,50.75,6.86,8.36,8.87
6,Connecticut,76.8,816015,561094,82416,1459525,55.91,38.44,5.65,-17.47,-16.96
7,Delaware,65.1,180068,137288,10266,327622,54.96,41.9,3.13,-13.060000000000002,-12.55
8,D. C.,57.0,171923,18073,11898,201894,85.16,8.95,5.89,-76.21,-75.7
9,Florida,68.1,2912253,2912790,138067,5963110,48.84,48.85,2.32,0.00999999999999801,0.52
10,Georgia,67.3,1116230,1419720,60854,2596804,42.98,54.67,2.34,11.690000000000005,12.2
11,Hawaii,57.7,205286,137845,24820,367951,55.79,37.46,6.75,-18.33,-17.82
12,Idaho,68.9,138637,336937,26047,501621,27.64,67.17,5.19,39.53,40.04
13,Illinois,66.5,2589026,2019421,133676,4742123,54.6,42.58,2.82,-12.020000000000003,-11.51
14,Indiana,55.1,901980,1245836,51486,2199302,41.01,56.65,2.34,15.64,16.15
15,Iowa,71.4,638517,634373,42673,1315563,48.54,48.22,3.24,-0.3200000000000003,0.19
16,Kansas,66.0,399276,622332,50608,1072216,37.24,58.04,4.72,20.799999999999997,21.31
17,Kentucky,60.4,638898,872492,32797,1544187,41.37,56.5,2.12,15.130000000000003,15.64
18,Louisiana,63.1,792344,927871,45441,1765656,44.88,52.55,2.57,7.669999999999995,8.18
19,Maine,68.8,319951,286616,45250,651817,49.09,43.97,6.94,-5.1200000000000045,-4.61
20,Maryland,74.5,1145782,813797,65901,2025480,56.57,40.18,3.25,-16.39,-15.88
21,Massachusetts,67.4,1616487,878502,207995,2702984,59.8,32.5,7.7,-27.299999999999997,-26.79
22,Michigan,61.7,2170418,1953139,109154,4232711,51.28,46.14,2.58,-5.140000000000001,-4.63
23,Minnesota,74.7,1168266,1109659,160760,2438685,47.91,45.5,6.59,-2.4099999999999966,-1.9
24,Mississippi,57.2,404964,573230,16732,994926,40.7,57.62,1.68,16.919999999999995,17.43
25,Missouri,61.1,1111138,1189924,58830,2359892,47.08,50.42,2.49,3.3400000000000034,3.85
26,Montana,58.9,137126,240178,33693,410997,33.36,58.44,8.2,25.08,25.59
27,Nebraska,64.2,231780,433862,31377,697019,33.25,62.25,4.5,29.0,29.51
28,Nevada,69.7,279978,301575,27417,608970,45.98,49.52,4.5,3.5400000000000063,4.05
29,New Hampshire,66.6,266348,273559,29174,569081,46.8,48.07,5.13,1.2700000000000031,1.78
30,New Jersey,67.7,1788850,1284173,114203,3187226,56.13,40.29,3.58,-15.840000000000003,-15.33
31,New Mexico,61.5,286783,286417,25405,598605,47.91,47.85,4.24,-0.05999999999999517,0.45
32,New York,60.7,4113791,2405676,311711,6831178,60.22,35.22,4.56,-25.0,-24.49
33,North Carolina,56.8,1257692,1631163,22407,2911262,43.2,56.03,0.77,12.829999999999998,13.34
34,North Dakota,,95284,174852,18131,288267,33.05,60.66,6.29,27.61,28.12
35,Ohio,62.4,2186190,2351209,168058,4705457,46.46,49.97,3.57,3.509999999999998,4.02
36,Oklahoma,55.3,474276,744337,15616,1234229,38.43,60.31,1.27,21.880000000000003,22.39
37,Oregon,78.5,720342,713577,100049,1533968,46.96,46.52,6.52,-0.4399999999999977,0.07
38,Pennsylvania,63.1,2485967,2281127,146025,4913119,50.6,46.43,2.97,-4.170000000000002,-3.66
39,Rhode Island,60.9,249508,130555,29049,409112,60.99,31.91,7.1,-29.080000000000002,-28.57
40,South Carolina,61.1,566039,786426,31312,1383777,40.91,56.83,2.26,15.920000000000002,16.43
41,South Dakota,67.1,118804,190700,6765,316269,37.56,60.3,2.14,22.739999999999995,23.25
42,Tennessee,65.3,981720,1061949,32512,2076181,47.28,51.15,1.57,3.8699999999999974,4.38
43,Texas,62.4,2433746,3799639,174252,6407637,37.98,59.3,2.72,21.32,21.83
44,Utah,68.6,203053,515096,52605,770754,26.34,66.83,6.83,40.489999999999995,41.0
45,Vermont,68.9,149022,119775,25511,294308,50.63,40.7,8.67,-9.93,-9.42
46,Virginia,72.6,1217290,1437490,84667,2739447,44.44,52.47,3.09,8.030000000000001,8.54
47,Washington,74.6,1247652,1108864,132229,2488745,50.13,44.56,5.31,-5.57,-5.06
48,West Virginia,60.8,295497,336475,16152,648124,45.59,51.92,2.49,6.329999999999998,6.84
49,Wisconsin,,1242987,1237279,118341,2598607,47.83,47.61,4.55,-0.21999999999999886,0.29
50,Wyoming,99.2,60481,147947,9923,218351,27.7,67.76,4.54,40.06,40.57
51,Total,67.1,51009810,50462412,3953763,105425985,48.38,47.87,3.75,-0.5100000000000051,0.0
