,State,Turnout,D_Votes,R_Votes,Other_Votes,Total_Votes,D_pct,R_pct,O_pct,R_margin,R_lean
0,Alabama,65.6,795696,1255925,22717,2074338,38.36,60.55,1.1,22.189999999999998,26.05
1,Alaska,59.3,122640,164676,13179,300495,40.81,54.8,4.39,13.989999999999995,17.85
2,Arizona,61.9,1025232,1233654,47673,2306559,44.45,53.48,2.07,9.029999999999994,12.89
3,Arkansas,66.1,394409,647744,27315,1069468,36.88,60.57,2.55,23.689999999999998,27.55
4,California,71.6,7854285,4839958,361572,13055815,60.16,37.07,2.77,-23.089999999999996,-19.23
5,Colorado,70.6,1323102,1185243,63501,2571846,51.45,46.09,2.47,-5.359999999999999,-1.5
6,Connecticut,70.3,905109,634899,18985,1558993,58.06,40.72,1.22,-17.340000000000003,-13.48
7,Delaware,65.5,242584,165484,5853,413921,58.61,39.98,1.41,-18.630000000000003,-14.77
8,D. C.,60.7,267070,21381,5313,293764,90.91,7.28,1.81,-83.63,-79.77
9,Florida,71.2,4237756,4163447,90972,8492175,49.9,49.03,1.07,-0.8699999999999974,2.99
10,Georgia,72.0,1773827,2078688,55854,3908369,45.39,53.19,1.43,7.799999999999997,11.66
11,Hawaii,61.6,306658,121015,7024,434697,70.55,27.84,1.62,-42.709999999999994,-38.85
12,Idaho,73.3,212787,420911,23044,656742,32.4,64.09,3.51,31.690000000000005,35.55
13,Illinois,69.8,3019512,2135216,96704,5251432,57.5,40.66,1.84,-16.840000000000003,-12.98
14,Indiana,57.8,1154275,1422872,55996,2633143,43.84,54.04,2.13,10.199999999999996,14.06
15,Iowa,72.0,822544,730617,29019,1582180,51.99,46.18,1.83,-5.810000000000002,-1.95
16,Kansas,65.4,439908,689809,27815,1157532,38.0,59.59,2.4,21.590000000000003,25.45
17,Kentucky,59.2,679370,1087190,31488,1798048,37.78,60.47,1.75,22.689999999999998,26.55
18,Louisiana,67.2,809141,1152262,32662,1994065,40.58,57.78,1.64,17.200000000000003,21.06
19,Maine,69.5,401306,292276,19598,713180,56.27,40.98,2.75,-15.290000000000006,-11.43
20,Maryland,73.3,1677844,971869,57614,2707327,61.97,35.9,2.13,-26.07,-22.21
21,Massachusetts,72.9,1921761,1188460,57546,3167767,60.67,37.52,1.82,-23.15,-19.29
22,Michigan,63.7,2564569,2115256,65491,4745316,54.04,44.58,1.38,-9.46,-5.6
23,Minnesota,81.3,1546167,1320225,70169,2936561,52.65,44.96,2.39,-7.689999999999998,-3.83
24,Mississippi,62.2,562949,710746,11889,1285584,43.79,55.29,0.92,11.5,15.36
25,Missouri,69.0,1223796,1482440,57453,2763689,44.28,53.64,2.08,9.36,13.22
26,Montana,71.1,201839,267928,14717,484484,41.66,55.3,3.04,13.64,17.5
27,Nebraska,68.3,302081,475064,17234,794379,38.03,59.8,2.17,21.769999999999996,25.63
28,Nevada,67.6,531373,463567,19978,1014918,52.36,45.68,1.97,-6.68,-2.82
29,New Hampshire,78.5,369561,329918,11493,710972,51.98,46.4,1.62,-5.579999999999998,-1.72
30,New Jersey,66.4,2126610,1478749,45781,3651140,58.25,40.5,1.25,-17.75,-13.89
31,New Mexico,62.5,415335,335788,32634,783757,52.99,42.84,4.16,-10.149999999999999,-6.29
32,New York,59.2,4485877,2490496,105163,7081536,63.35,35.17,1.49,-28.18,-24.32
33,North Carolina,67.8,2178391,2270395,56586,4505372,48.35,50.39,1.26,2.039999999999999,5.9
34,North Dakota,,124827,188163,9637,322627,38.69,58.32,2.99,19.630000000000003,23.49
35,Ohio,70.0,2827709,2661437,101788,5590934,50.58,47.6,1.82,-2.979999999999997,0.88
36,Oklahoma,63.1,443547,891325,0,1334872,33.23,66.77,0.0,33.54,37.4
37,Oregon,81.4,970488,754175,64607,1789270,54.24,42.15,3.61,-12.090000000000003,-8.23
38,Pennsylvania,67.6,2990274,2680434,84912,5755620,51.95,46.57,1.48,-5.380000000000003,-1.52
39,Rhode Island,60.9,279677,157204,9168,446049,62.7,35.24,2.06,-27.46,-23.6
40,South Carolina,68.3,865941,1071645,26532,1964118,44.09,54.56,1.35,10.469999999999999,14.33
41,South Dakota,62.5,145039,210610,8166,363815,39.87,57.89,2.24,18.020000000000003,21.88
42,Tennessee,61.3,960709,1462330,37865,2460904,39.04,59.42,1.54,20.380000000000003,24.24
43,Texas,58.6,3308124,4569843,121690,7999657,41.35,57.13,1.52,15.780000000000001,19.64
44,Utah,67.5,251813,740600,28448,1020861,24.67,72.55,2.79,47.879999999999995,51.74
45,Vermont,64.9,199239,92698,7353,299290,66.57,30.97,2.46,-35.599999999999994,-31.74
46,Virginia,71.0,1971820,1822522,60147,3854489,51.16,47.28,1.56,-3.8799999999999955,-0.02
47,Washington,80.6,1755396,1290670,99892,3145958,55.8,41.03,3.18,-14.769999999999996,-10.91
48,West Virginia,53.9,238269,417655,16195,672119,35.45,62.14,2.41,26.689999999999998,30.55
49,Wisconsin,84.2,1620985,1407966,39483,3068434,52.83,45.89,1.29,-6.939999999999998,-3.08
50,Wyoming,103.6,69286,170962,8813,249061,27.82,68.64,3.54,40.82,44.68
51,Total,68.0,65918507,60934407,2384728,129237642,51.01,47.15,1.85,-3.8599999999999994,0.0
